folder,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,mfcc45,mfcc46,mfcc47,mfcc48,mfcc49,mfcc50,mfcc51,mfcc52,mfcc53,mfcc54,mfcc55,mfcc56,mfcc57,mfcc58,mfcc59,mfcc60,mfcc61,mfcc62,mfcc63,mfcc64,mfcc65,mfcc66,mfcc67,mfcc68,mfcc69,label
21 Savage - Bank Account,349.89739990234375,136.9488525390625,-34.16516876220703,34.152469635009766,-9.946420669555664,12.364408493041992,-16.699865341186523,13.572405815124512,-11.830781936645508,7.829172134399414,437.0307312011719,116.12644958496094,-2.4922935962677,17.662384033203125,2.197735071182251,12.079144477844238,5.763627052307129,19.359912872314453,-5.382121562957764,16.14990234375,444.8980712890625,100.33628845214844,-6.005522727966309,27.63114356994629,16.62967300415039,16.18703842163086,5.547570705413818,15.169711112976074,-4.541638374328613,19.844261169433594,445.1952819824219,104.15492248535156,-5.167342185974121,26.9836368560791,11.877193450927734,10.975156784057617,2.223487138748169,17.74040412902832,0.49067747592926025,21.70632553100586,421.078369140625,107.39224243164062,-9.255411148071289,28.63591766357422,17.86795425415039,10.525935173034668,2.004520893096924,19.831714630126953,-3.706287384033203,17.590412139892578,432.8638000488281,91.20195007324219,-5.3616251945495605,35.928382873535156,23.38490104675293,18.70625114440918,6.43461799621582,16.53465461730957,-4.557634353637695,16.57192039489746,410.266845703125,101.57259368896484,-9.182470321655273,25.361305236816406,16.609771728515625,13.777522087097168,3.9544639587402344,17.279964447021484,0.6429076194763184,22.42597198486328,<pad> anger
"24kGoldn, iann dior-Mood feat iann dior",406.6371765136719,111.8944091796875,-1.8009333610534668,8.114124298095703,-12.935810089111328,-2.8106651306152344,4.17134952545166,2.963447332382202,-16.117897033691406,13.66303825378418,443.0437927246094,111.17860412597656,-13.073065757751465,10.958625793457031,-8.750792503356934,-5.5146026611328125,0.26273036003112793,-0.504532516002655,-10.645689010620117,11.915101051330566,456.8854064941406,105.30546569824219,-2.862515449523926,23.602073669433594,0.9770078659057617,11.15695858001709,1.6342668533325195,5.486454963684082,-3.0892295837402344,8.620896339416504,460.39288330078125,98.1098861694336,4.071509838104248,24.1950740814209,9.582324981689453,15.531108856201172,4.093238353729248,7.970549583435059,-0.3381747007369995,8.356413841247559,465.15313720703125,100.08587646484375,1.6886613368988037,24.161354064941406,5.037458419799805,15.927728652954102,3.315194606781006,6.367539405822754,-0.32737430930137634,7.931311130523682,463.2862243652344,98.11726379394531,2.7570109367370605,24.24791145324707,5.026629447937012,15.900845527648926,3.8909151554107666,8.984224319458008,-1.5200848579406738,10.145383834838867,428.4221496582031,99.41189575195312,0.8293556571006775,25.32155990600586,9.930633544921875,14.143327713012695,1.2280642986297607,6.887057304382324,-1.2602217197418213,7.627143383026123,<pad> joy
Adele - Hello,181.0419464111328,170.82742309570312,4.774619102478027,22.550601959228516,-2.120978593826294,12.156087875366211,-2.759603500366211,7.400857448577881,-2.959136486053467,7.411862373352051,74.13935089111328,186.59910583496094,18.95935821533203,41.779048919677734,12.726723670959473,25.19902801513672,10.200789451599121,19.24798583984375,5.037705421447754,12.646562576293945,-34.38167190551758,144.49652099609375,30.831132888793945,55.870338439941406,27.927818298339844,29.717227935791016,16.895755767822266,27.465110778808594,17.08374786376953,13.381772994995117,59.20399856567383,227.69924926757812,15.478328704833984,3.5708537101745605,-2.093207359313965,11.904118537902832,-4.449692249298096,6.539219856262207,4.59683895111084,-1.632993221282959,268.825439453125,122.33625793457031,7.409967422485352,18.076963424682617,6.882652759552002,6.496578693389893,-1.2136523723602295,-7.278541564941406,0.8055495619773865,0.22162526845932007,292.67120361328125,116.31507873535156,-2.0697197914123535,9.091888427734375,3.6855947971343994,-2.5373926162719727,1.3642641305923462,-5.124180793762207,-11.083900451660156,1.5669384002685547,318.14013671875,108.69601440429688,-28.64566993713379,2.631716012954712,5.6699042320251465,-13.914205551147461,-4.775432109832764,1.1389524936676025,-7.8025102615356445,9.14796257019043,<pad> sadness
Adele - When We Were Young,362.2156677246094,124.67367553710938,-2.42305850982666,31.571319580078125,12.643105506896973,-2.4029507637023926,-17.132692337036133,-0.50608229637146,1.5024954080581665,18.024526596069336,373.75531005859375,129.00869750976562,19.354488372802734,20.01300811767578,2.1241538524627686,0.6314259767532349,-3.233555555343628,6.299587249755859,-6.7745208740234375,4.9836225509643555,318.105224609375,124.46874237060547,37.31327819824219,21.560016632080078,12.449026107788086,2.492523670196533,-0.7704407572746277,2.056654930114746,-6.8898186683654785,-12.644125938415527,408.0050048828125,102.88803100585938,3.5222678184509277,35.52333068847656,9.426738739013672,2.3935835361480713,-16.321636199951172,-0.07195484638214111,-10.012401580810547,4.0083208084106445,390.4537048339844,101.15312194824219,-7.58009672164917,13.580778121948242,-5.512331962585449,-3.439929485321045,-0.3714022934436798,15.61383056640625,2.648705244064331,10.61630916595459,354.5356140136719,119.8988037109375,6.207930088043213,23.226511001586914,-1.0290530920028687,14.090147972106934,-12.452814102172852,7.503851890563965,-5.918966293334961,9.911848068237305,374.78350830078125,101.6068344116211,1.8570308685302734,22.983089447021484,5.714491844177246,0.007557234726846218,-9.900806427001953,5.201530933380127,-5.391875267028809,16.92462921142578,<pad> love
Adele-Easy On Me,384.4637145996094,96.38546752929688,30.71133804321289,27.01815414428711,16.01396942138672,-1.9721825122833252,-1.451701045036316,7.48801851272583,-17.497207641601562,-8.735379219055176,464.572265625,103.43452453613281,-3.631394147872925,2.024676561355591,-1.4008806943893433,12.591926574707031,-9.47775650024414,6.975906848907471,-9.353464126586914,0.15247347950935364,445.9461364746094,98.68848419189453,20.039987564086914,3.2564897537231445,-1.903672218322754,15.47221565246582,-5.4521942138671875,4.0577287673950195,-4.6191205978393555,1.0344427824020386,399.43341064453125,103.60263061523438,40.93217849731445,3.063504695892334,-4.831396102905273,5.809057235717773,2.0001890659332275,2.883402109146118,-9.472620010375977,-2.1930577754974365,315.3833312988281,146.41156005859375,20.27895164489746,17.862667083740234,8.897890090942383,5.076750755310059,-3.7207255363464355,6.931632041931152,-13.690988540649414,7.051083087921143,336.4458923339844,155.32760620117188,5.649787425994873,4.703823566436768,18.566791534423828,2.4494571685791016,6.433699607849121,3.7994391918182373,-7.2829179763793945,-2.644129753112793,392.0645446777344,127.7340316772461,21.477046966552734,13.206382751464844,13.825364112854004,7.616010665893555,4.265037536621094,9.073659896850586,-11.039584159851074,-0.5690062642097473,<pad> joy
aespa-Better Things,428.43017578125,87.4400634765625,-28.94245147705078,-15.10308837890625,-13.46053409576416,-14.549215316772461,-16.39337158203125,-16.781845092773438,-2.0679924488067627,-2.047112464904785,443.69573974609375,88.965576171875,-18.327678680419922,-12.301911354064941,-4.092618942260742,-11.185778617858887,-16.03358268737793,-14.167380332946777,-11.431806564331055,-3.2547717094421387,469.31787109375,82.44743347167969,-22.14731216430664,-9.16402816772461,-16.30945587158203,-12.42886734008789,-14.278377532958984,-19.497364044189453,-6.898305892944336,-7.8246870040893555,482.1219482421875,107.30476379394531,3.240368604660034,8.840681076049805,4.046850204467773,7.528228282928467,1.7076977491378784,-0.5649998784065247,6.791099548339844,7.355827331542969,498.21575927734375,93.48930358886719,0.5475580096244812,22.92971420288086,5.85775899887085,6.879331588745117,7.866915225982666,-1.0327664613723755,10.359846115112305,7.966200351715088,426.0281982421875,99.99383544921875,12.243637084960938,11.49905776977539,4.423739910125732,10.774406433105469,1.5972189903259277,1.1771159172058105,2.477161407470703,3.587618589401245,406.26409912109375,77.41809844970703,-18.753023147583008,-2.414902448654175,-7.938266277313232,-6.767740249633789,-18.15121078491211,-12.439676284790039,-7.3015899658203125,-4.886709213256836,<pad> joy
After School - DIVA,473.206787109375,61.041595458984375,-10.260343551635742,7.967209815979004,-2.33284330368042,3.1772701740264893,-1.309568166732788,12.047210693359375,4.745425224304199,9.68441390991211,497.2936706542969,58.4782829284668,-15.228141784667969,15.441550254821777,4.7542195320129395,7.0956621170043945,2.272411823272705,8.894145965576172,3.416471004486084,5.013432025909424,499.75946044921875,61.82875061035156,-15.398656845092773,14.198030471801758,3.4948620796203613,2.576050281524658,-0.32901638746261597,8.190245628356934,5.322084426879883,5.2146477699279785,499.80670166015625,56.44427490234375,-11.553874969482422,18.257354736328125,2.5665695667266846,5.59121561050415,-0.1239716112613678,6.746792316436768,0.3202008306980133,5.134626388549805,469.1298522949219,99.26470947265625,-10.343963623046875,3.0218615531921387,-3.912890911102295,10.451129913330078,-1.0837820768356323,7.125314235687256,0.7252578139305115,11.808382034301758,481.8330078125,82.64989471435547,-12.379936218261719,11.942525863647461,1.8179409503936768,3.9831600189208984,0.3258262276649475,6.80383825302124,5.258614540100098,10.058806419372559,453.8650207519531,62.51459503173828,-5.910454750061035,8.764947891235352,7.458423137664795,10.230932235717773,9.908830642700195,6.900819778442383,3.106245994567871,4.909659385681152,<pad> love
Alan Walker - Faded,463.5856628417969,62.636253356933594,13.463232040405273,20.74152374267578,8.869373321533203,9.395400047302246,1.2440510988235474,9.930407524108887,-1.2192634344100952,7.539449691772461,509.5982666015625,76.25386047363281,1.4047117233276367,16.23401641845703,3.6903908252716064,8.827590942382812,8.216059684753418,6.998109817504883,1.6640950441360474,8.08690071105957,501.993896484375,73.18646240234375,7.683815002441406,18.009048461914062,2.874976396560669,9.316189765930176,11.59611701965332,9.828102111816406,-1.8550821542739868,3.227576971054077,514.0505981445312,72.50997161865234,2.9752895832061768,20.344810485839844,0.15492522716522217,3.1448588371276855,7.008917331695557,9.422708511352539,1.9391515254974365,6.177256107330322,513.6827392578125,70.17596435546875,-2.6644325256347656,19.541278839111328,0.32116979360580444,15.39719009399414,13.528278350830078,16.31302261352539,1.0621986389160156,5.512609481811523,519.17236328125,73.2735595703125,3.6571130752563477,15.429376602172852,-0.9168973565101624,8.855205535888672,6.218389511108398,16.77458381652832,7.897514820098877,10.037775993347168,463.20465087890625,70.71414184570312,2.475337266921997,22.00450325012207,4.8115997314453125,15.921390533447266,8.082965850830078,13.27407455444336,7.142932891845703,12.507678985595703,<pad> fear
Alec Benjamin-Different Kind Of Beautiful,435.84130859375,106.74419403076172,22.206439971923828,35.47251892089844,7.470064640045166,1.3323900699615479,3.8425674438476562,-0.959203839302063,2.6209287643432617,7.57621431350708,462.27484130859375,108.01284790039062,8.029159545898438,27.849483489990234,12.958151817321777,-0.7823926210403442,-5.952912330627441,-2.4144201278686523,-6.005057334899902,7.0540032386779785,461.955810546875,117.83775329589844,-13.660867691040039,16.94305419921875,9.366086959838867,-8.863408088684082,-1.2268180847167969,-8.239202499389648,-3.97928524017334,10.155315399169922,450.2332458496094,111.01713562011719,2.8757519721984863,24.49090003967285,3.1938600540161133,-9.294051170349121,-6.1630449295043945,-4.394010543823242,-6.801511764526367,5.352141380310059,460.24688720703125,105.74151611328125,12.269201278686523,24.86341094970703,14.56197738647461,-5.220944404602051,-0.9524566531181335,-3.3031632900238037,0.9221335649490356,9.756719589233398,480.43408203125,104.7247543334961,7.976840019226074,27.817405700683594,12.27718734741211,-0.5445817708969116,-0.16620346903800964,-2.651456356048584,-0.5624074935913086,10.41152572631836,447.9503173828125,116.63255310058594,-4.6155171394348145,31.850250244140625,12.300203323364258,2.9376373291015625,5.270941257476807,-0.432391881942749,4.356346607208252,9.472478866577148,<pad> sadness
Alessia Cara - Here,477.6643371582031,105.72105407714844,-11.512550354003906,18.252201080322266,-9.25271987915039,11.555084228515625,-4.027873992919922,6.255690574645996,-4.9094696044921875,5.376626014709473,516.177001953125,106.32606506347656,-11.709199905395508,19.026206970214844,-22.557193756103516,15.706865310668945,1.4763623476028442,10.66110610961914,3.843653678894043,10.019158363342285,519.1495361328125,108.88136291503906,-14.234431266784668,22.196834564208984,-10.89396858215332,7.5762858390808105,-0.5313294529914856,5.018426895141602,3.700174570083618,9.540933609008789,520.39599609375,102.90238952636719,-11.529890060424805,27.746482849121094,-17.226709365844727,10.196918487548828,-2.511662244796753,8.304473876953125,4.814711570739746,7.736644268035889,511.37042236328125,86.38787841796875,5.783123016357422,33.63074493408203,-9.716379165649414,13.573305130004883,-2.7629780769348145,12.357982635498047,8.571953773498535,5.332147598266602,500.1754150390625,89.92927551269531,1.9620027542114258,31.662090301513672,0.04333847761154175,13.704669952392578,-2.656364917755127,13.611872673034668,10.195262908935547,10.077384948730469,482.0987854003906,81.81820678710938,2.9015464782714844,39.04411315917969,-9.31270980834961,13.376042366027832,0.4726414084434509,9.14146900177002,-0.446752667427063,3.8058359622955322,<pad> anger
